header	Is your research data automatically backed up?	Did you lose any research data in the past year?	You said you lost research data in the past year. How much time did you lose?	How frequently do you have problems finding a specific research data file in your collection?	Do you currently use any dedicated tools for research data management, for example, an electronic lab notebook, or a version control system (such as Git)?	You said that you are currently using tools for data management. What are these tool(s)?	Would you be interested in trying out a dedicated tool for research data management?	Does your project have a data management plan?	Do you know who owns the research data that you are creating?	You said you know who owns the research data that you are creating. Who is it?	Who do you think is responsible for the stewardship of research data resulting from your project?	Are you aware of funders’ expectations for Findable, Accessible, Interoperable and Reusable (FAIR) data?	Are you aware of research data repositories?	Please provide us with the name(s) of the repository(ies) that you are using	Please indicate if you (or related staff / students) would be interested in any potential training on research data management	Which institution are you from?	Have you heard about dedicated support for research data management at EPFL?	Among the data curation services indicated below, which would be helpful for your research data management? [Guidelines for data curation (what data to preserve, what metadata and documentation to link to data)]	Among the data curation services indicated below, which would be helpful for your research data management? [Availability of an institutional repository]	Among the data curation services indicated below, which would be helpful for your research data management? [Guidance for choosing a repository]	Among the data curation services indicated below, which would be helpful for your research data management? [Support for depositing data in a repository (includes choice of datasets to be deposited, choice of metadata, data preparation for depositing, link between datasets and publications)]	Among the data curation services indicated below, which would be helpful for your research data management? [Guidance for data anonymization in case of sensitive data]	Among the data curation services indicated below, which would be helpful for your research data management? [Guidelines on data re-use policy (how to find data, how to cite data, legal and ethical aspects)]	Among the data curation services indicated below, which would be helpful for your research data management? [Guidance for choosing a license to apply to your data]	Among the data curation services indicated below, which would be helpful for your research data management? [Guidance for cleaning and managing data in the laboratory (evaluation of the data life-cycle management in the laboratory, analysis of data workflows, guidelines on data format and interoperability of datasets)]	Among the data curation services indicated below, which would be helpful for your research data management? [Advice for storage and security issues]	Among the data curation services indicated below, which would be helpful for your research data management? [Guidance for verifying data integrity and checking data obsolescence]	Among the data curation services indicated below, which would be helpful for your research data management? [Guidance for putting in practice the DMP]	Among the data curation services indicated below, which would be helpful for your research data management? [Support for costing data management]	Do you share data files associated with your publications?	Please specify where you share your data	What is your position?	Do you know where to look for available ICT resources (e.g. storage options, available software) at TU Delft?	Have you heard of 4TU.Centre for Research Data archive (https://www.4tu.nl/en/research/)?	Have you heard about the Data Stewardship project and dedicated support for data management at your faculty?	Which faculty are you from?	Uni
223	Yes	Yes	1 day - 7 days	Frequently	Yes	c4science + NAS (local management) + switch and gdrive		Not sure	Yes	EPFL except for data generated based on confidential data 	Myself	No	Not sure		General introduction to research data management;Organising folders and files;Data ownership and licensing;Using version control software;Funders’ requirements for data management and sharing;Working with confidential data (personally identifiable, commercially sensitive etc.)	EPFL	Yes	Yes, urgently	Yes	Yes, urgently	Yes	Yes	Yes	Yes	Not sure	Not sure	Not sure	Not sure	Not sure	Yes, sometimes	infoscience or as electronic supplement	Adjunct or MER Professor					Delft
224	Yes	No		Sometimes	No		Yes	No	Yes	I work on several projects and it depends on the type of project, as indicated in the consortium agreement or the research contract. In general, EPFL is the owner.	Myself;My supervisor	Yes	Yes, I am aware of research data repositories, but I have not used them		Data management plan preparation;Data backup and storage solutions;How to use repositories for data sharing and searching for existing datasets;Data ownership and licensing	EPFL	Yes	Yes, urgently	Yes, urgently	Yes	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes, urgently	Yes, urgently	Yes, sometimes	So far, only in the journal repository as supplementary info	Associate Professor					Delft
225	Yes	No		Sometimes	No		Yes	No	Yes	EPFL	Myself	Yes	Yes, I am already using them to find existing datasets or to share my own data	NCBI	General introduction to research data management;Data management plan preparation;Data ownership and licensing;Funders’ requirements for data management and sharing	EPFL	Yes	Yes	Not sure	Yes	Yes	No	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes, sometimes	supplementary data	Full Professor					Delft
226	Yes	No		Almost never	Yes	Jupyter notebook		No	No		Myself;My university/institution	Yes	Yes, I am aware of research data repositories, but I have not used them		General introduction to research data management;Organising folders and files;Data management plan preparation	EPFL	Yes	No	No	No	No	No	Yes	No	Yes	No	Yes	Yes	Yes	Yes, sometimes	Dryad	Associate Professor					Delft
227	No	No		Almost never	No		Yes	Not sure	Yes	the PI	Myself;My supervisor;My university/institution	Not sure	Yes, I am already using them to find existing datasets or to share my own data	For protein structures the PDB	General introduction to research data management;Data management plan preparation;Data backup and storage solutions;How to use repositories for data sharing and searching for existing datasets;Data ownership and licensing;Funders’ requirements for data management and sharing;software management e.g.SBgrid	EPFL	Yes	Yes, urgently	Yes, urgently	Yes	Yes	Not sure	Yes, urgently	Yes, urgently	Yes, urgently	Yes, urgently	Yes, urgently	Yes, urgently	Yes, urgently	Yes, sometimes	PDB	Adjunct or MER Professor					Delft
228	Yes	No		Almost never	No		Yes	No	Yes	currently myself and the university, but after completion the data will be publicly available	Myself;My university/institution	Yes	Yes, I am aware of research data repositories, but I have not used them		How to use repositories for data sharing and searching for existing datasets	EPFL	No	Yes	Yes	Yes	Yes	No	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes, sometimes	so far only on a personal-basis or within larger projects	Postdoc/researcher					Delft
229	Yes	No		Almost never	No		Yes	No	Yes	The institution or the journal in which papers were published 	Myself;My supervisor;My university/institution;Project partner (e.g. commercial company or a collaborator)	No	Yes, I am already using them to find existing datasets or to share my own data	Zenodo	Data backup and storage solutions;How to use repositories for data sharing and searching for existing datasets;Data ownership and licensing	EPFL	Yes	Yes, urgently	Yes, urgently	Yes, urgently	Yes, urgently	Yes, urgently	Yes, urgently	Yes, urgently	No	Yes	Yes	Yes	No	Yes, often	In supplementary information of the paper 	PhD student					Delft
230	No	No		Very frequently	No		Not sure	No	Not sure		Myself	Yes	No, I have no idea what these are		General introduction to research data management;Organising folders and files;Data management plan preparation;Data backup and storage solutions;Data ownership and licensing	EPFL	Yes	Yes	Yes	Yes	Yes	No	Not sure	Yes	Yes	Yes	Not sure	Yes	Yes	Yes, sometimes	webpage	Adjunct or MER Professor					Delft
231	Yes	No		Almost never	No		Yes	No	Yes	we are the owner of our data. Or EPFL?	Myself	No	Not sure		General introduction to research data management	EPFL	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	No		Adjunct or MER Professor					Delft
232	No	No		Almost never	Yes	Forge, [anonymised], [anonymised]		No	Yes	Institution	Myself;My university/institution	Yes	Yes, I am already using them to find existing datasets or to share my own data	[anonymised], [anonymised], Pangea	Not interested in training;A better interactive and flexible (e.g. for streaming data) repository such as Osper	EPFL	No	No	Yes, urgently	No	Yes	No	No	No	Not sure	No	No	No	No	Yes, often	[anonymised], [anonymised]	Full Professor					Delft
233	No	No		Sometimes	No		Yes	Not sure	Not sure		Myself;My supervisor;My university/institution;My funding agency	No	Yes, I am aware of research data repositories, but I have not used them		General introduction to research data management;Data backup and storage solutions;How to use repositories for data sharing and searching for existing datasets;Data ownership and licensing;Working with confidential data (personally identifiable, commercially sensitive etc.)	EPFL	No	Yes	Yes, urgently	Yes	Yes, urgently	Yes, urgently	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes, sometimes	with journal	PhD student					Delft
234	No	No		Almost never	No		Yes	No	Yes	Funding agency	Myself;My university/institution;My funding agency	Yes	Yes, I am aware of research data repositories, but I have not used them		The problem with trainings is that they are not specific. 1:1 sessions would be more helpful	EPFL	Yes	Yes	Yes	Not sure	Not sure	Not sure	Not sure	Not sure	Yes	Yes	No	Yes	Yes	Yes, sometimes	Google Drive	Tenure Track Assistant Professor					Delft
235	Not sure	No		Almost never	No		Not sure	No	Not sure		Myself;My unit's IT manager	No	Not sure		General introduction to research data management;How to use repositories for data sharing and searching for existing datasets;Data ownership and licensing;Data café informal drop in sessions	EPFL	No	No	No	No	No	No	No	No	No	No	No	No	No	Yes, often	personal web site	PhD student					Delft
236	Yes	No		Sometimes	No		Not sure	No	Not sure		Myself	No	No, I have no idea what these are		Not interested in training	EPFL	No	No	No	No	No	No	No	No	No	No	No	No	No	No		PhD student					Delft
237	Yes	No		Almost never	Yes	Github for code		Yes	No		Myself;My supervisor;My university/institution	Yes	Not sure		Not interested in training	EPFL	No	Yes	Yes, urgently	No	No	Yes, urgently	Yes, urgently	Yes, urgently	Yes	No	Yes	Not sure	Not sure	Not sure		PhD student					Delft
238	No	Yes	1 month - 6 months	Almost never	Yes			No	Yes		Myself;My university/institution;Project partner (e.g. commercial company or a collaborator)	No	No, I have no idea what these are		General introduction to research data management;Data backup and storage solutions	TU Delft																Assistant Professor	Not sure	No	No	EWI - Electrical Engineering, Mathematics and Computer Science	EPFL
239	Yes	No		Frequently	Yes			Yes	Not sure		Myself	Yes	Yes, I am already using them to find existing datasets or to share my own data		Using version control software;Safe and reliable alternatives to dropbox and google drive.	TU Delft																Assistant Professor	Not sure	Yes	No	EWI - Electrical Engineering, Mathematics and Computer Science	EPFL
240	Yes	No		Never	No		No	No	Not sure		Myself;My university/institution	Yes	Yes, I am aware of research data repositories, but I have not used them		Not interested in training	TU Delft																Assistant Professor	Not sure	No	No	EWI - Electrical Engineering, Mathematics and Computer Science	EPFL
241	Not sure	No		Sometimes	No		Not sure	No	No		Myself;My supervisor;My university/institution;Project partner (e.g. commercial company or a collaborator)	No	No, I have no idea what these are		General introduction to research data management;Data ownership and licensing;Using version control software;Working with confidential data (personally identifiable;commercially sensitive etc.)	TU Delft																MSc student	No	No	No	EWI - Electrical Engineering, Mathematics and Computer Science	EPFL
242	Yes	No		Almost never	No		Yes	No	No		Myself;My supervisor	No	No, I have no idea what these are		General introduction to research data management;Organising folders and files;Data management plan preparation;How to use repositories for data sharing and searching for existing datasets;Data ownership and licensing;Using version control software;Funders’ requirements for data management and sharing	TU Delft																Support Staff	Yes	No	No	EWI - Electrical Engineering, Mathematics and Computer Science	EPFL
243	Yes	No		Frequently	Yes			No	Yes		Myself;My supervisor;My unit's IT manager;My university/institution	Yes	Yes, I am already using them to find existing datasets or to share my own data		General introduction to research data management;Organising folders and files;Data management plan preparation;Data backup and storage solutions;How to use repositories for data sharing and searching for existing datasets;Using version control software;Data café informal drop in sessions	TU Delft																PhD student	Yes	No	No	EWI - Electrical Engineering, Mathematics and Computer Science	EPFL
244	No	No		Almost never	Yes			No	Yes		Myself;My supervisor;My university/institution	No	Yes, I am aware of research data repositories, but I have not used them		General introduction to research data management;Data backup and storage solutions;Data ownership and licensing	TU Delft																PhD student	Not sure	No	No	EWI - Electrical Engineering, Mathematics and Computer Science	EPFL
245	Yes	No		Almost never	No		Yes	No	Not sure		Myself	Yes	Yes, I am already using them to find existing datasets or to share my own data		Not interested in training	TU Delft																Associate Professor	Yes	Yes	Yes	EWI - Electrical Engineering, Mathematics and Computer Science	EPFL
246	Yes	Yes	1 day - 7 days	Never	Yes			No	Yes		Myself	Yes	Yes, I am already using them to find existing datasets or to share my own data		Data ownership and licensing	TU Delft																Assistant Professor	Yes	Yes	Yes	EWI - Electrical Engineering, Mathematics and Computer Science	EPFL
247	Yes	No		Sometimes	Yes			No	Not sure		Myself	Yes	Yes, I am already using them to find existing datasets or to share my own data		Not interested in training	TU Delft																PhD student	Yes	Yes	No	EWI - Electrical Engineering, Mathematics and Computer Science	EPFL
248	No	No		Never	Yes			No	No		Myself	Yes	Yes, I am aware of research data repositories, but I have not used them		Not interested in training	TU Delft																PhD Candidate	Yes	No	No	EWI - Electrical Engineering, Mathematics and Computer Science	EPFL
249	Yes	No		Sometimes	Yes			Not sure	Yes		Myself;My supervisor;My unit's IT manager	Yes	Yes, I am aware of research data repositories, but I have not used them		General introduction to research data management;Data backup and storage solutions;Using version control software	TU Delft																PhD student	Not sure	Not sure	Not sure	EWI - Electrical Engineering, Mathematics and Computer Science	EPFL
250	Yes	No		Almost never	No		Yes	No	Not sure		Myself;My supervisor	Not sure	Not sure		General introduction to research data management;Data backup and storage solutions;Using version control software;Working with confidential data (personally identifiable;commercially sensitive etc.)	TU Delft																PhD student	Not sure	Yes	No	EWI - Electrical Engineering, Mathematics and Computer Science	EPFL
251	Yes	No		Almost never	Yes			No	Not sure		Myself	No	Not sure		Organising folders and files;Data backup and storage solutions	TU Delft																PhD student	No	No	No	EWI - Electrical Engineering, Mathematics and Computer Science	EPFL
252	No	No		Almost never	Not sure		Yes	No	Not sure		Myself;My unit's IT manager;My university/institution	No	Yes, I am aware of research data repositories, but I have not used them		Data backup and storage solutions;How to use repositories for data sharing and searching for existing datasets;Data ownership and licensing;Funders’ requirements for data management and sharing	TU Delft																Assistant Professor	Not sure	No	No	EWI - Electrical Engineering, Mathematics and Computer Science	EPFL
253	Yes	No		Almost never	No		Yes	No	Yes		Myself;My supervisor	No	Yes, I am aware of research data repositories, but I have not used them		Data management plan preparation;How to use repositories for data sharing and searching for existing datasets;Using version control software;Data café informal drop in sessions	TU Delft																PhD student	Yes	Yes	No	EWI - Electrical Engineering, Mathematics and Computer Science	EPFL
254	No	No		Frequently	No		Yes	No	Not sure		Myself	Not sure	No, I have no idea what these are		Organising folders and files;Data management plan preparation;Data backup and storage solutions;How to use repositories for data sharing and searching for existing datasets;Data ownership and licensing;Using version control software;Funders’ requirements for data management and sharing;Working with confidential data (personally identifiable;commercially sensitive etc.);Data carpentry (http://www.datacarpentry.org/);Software carpentry (https://software-carpentry.org/)	TU Delft																PhD student	Yes	No	No	EWI - Electrical Engineering, Mathematics and Computer Science	EPFL
255	Not sure	No		Sometimes	No		Yes	No	No		Myself;My supervisor;My university/institution	No	Yes, I am aware of research data repositories, but I have not used them		General introduction to research data management;Data management plan preparation;How to use repositories for data sharing and searching for existing datasets;Data ownership and licensing;Using version control software	TU Delft																PhD student	Yes	Yes	No	EWI - Electrical Engineering, Mathematics and Computer Science	EPFL
